bag,absolute_time,relative_sec,source_node,source_topic,event_category,candidate_type,goal_x,goal_y,decision,direct_reason,clearance_m,required_clearance_m,progress_m,alignment,path_length_m,score,outcome
23july.bag,2026-07-23T21:03:25.141+05:30,17.501,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.29,9.73,rejected,"Rejected frontier (8.29, 9.73): endpoint clearance 0.03 m is below required 1.70 m.",0.03,1.7,,,,,
23july.bag,2026-07-23T21:03:25.141+05:30,17.502,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.54,9.83,rejected,"Rejected frontier (8.54, 9.83): endpoint clearance 0.15 m is below required 1.70 m.",0.15,1.7,,,,,
23july.bag,2026-07-23T21:03:25.142+05:30,17.502,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.44,9.68,rejected,"Rejected frontier (8.44, 9.68): endpoint clearance 0.18 m is below required 1.70 m.",0.18,1.7,,,,,
23july.bag,2026-07-23T21:03:25.142+05:30,17.503,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.49,9.73,rejected,"Rejected frontier (8.49, 9.73): endpoint clearance 0.23 m is below required 1.70 m.",0.23,1.7,,,,,
23july.bag,2026-07-23T21:03:25.143+05:30,17.504,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.44,9.78,rejected,"Rejected frontier (8.44, 9.78): endpoint clearance 0.18 m is below required 1.70 m.",0.18,1.7,,,,,
23july.bag,2026-07-23T21:03:25.143+05:30,17.504,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.64,9.83,rejected,"Rejected frontier (8.64, 9.83): endpoint clearance 0.08 m is below required 1.70 m.",0.08,1.7,,,,,
23july.bag,2026-07-23T21:03:25.144+05:30,17.504,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.69,9.83,rejected,"Rejected frontier (8.69, 9.83): endpoint clearance 0.08 m is below required 1.70 m.",0.08,1.7,,,,,
23july.bag,2026-07-23T21:03:25.144+05:30,17.505,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.79,9.83,rejected,"Rejected frontier (8.79, 9.83): endpoint clearance 0.04 m is below required 1.70 m.",0.04,1.7,,,,,
23july.bag,2026-07-23T21:03:25.145+05:30,17.505,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.59,9.88,rejected,"Rejected frontier (8.59, 9.88): endpoint clearance 0.08 m is below required 1.70 m.",0.08,1.7,,,,,
23july.bag,2026-07-23T21:03:25.145+05:30,17.506,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,3.49,10.43,rejected,"Rejected frontier (3.49, 10.43): endpoint clearance 0.03 m is below required 1.70 m.",0.03,1.7,,,,,
23july.bag,2026-07-23T21:03:25.146+05:30,17.506,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,3.79,11.03,rejected,"Rejected frontier (3.79, 11.03): endpoint clearance 0.23 m is below required 1.70 m.",0.23,1.7,,,,,
23july.bag,2026-07-23T21:03:25.146+05:30,17.507,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,3.59,10.58,rejected,"Rejected frontier (3.59, 10.58): endpoint clearance 0.18 m is below required 1.70 m.",0.18,1.7,,,,,
23july.bag,2026-07-23T21:03:25.147+05:30,17.507,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,3.69,10.63,rejected,"Rejected frontier (3.69, 10.63): endpoint clearance 0.29 m is below required 1.70 m.",0.29,1.7,,,,,
23july.bag,2026-07-23T21:03:25.147+05:30,17.508,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,3.69,10.78,rejected,"Rejected frontier (3.69, 10.78): endpoint clearance 0.29 m is below required 1.70 m.",0.29,1.7,,,,,
23july.bag,2026-07-23T21:03:25.148+05:30,17.509,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,3.79,10.83,rejected,"Rejected frontier (3.79, 10.83): endpoint clearance 0.32 m is below required 1.70 m.",0.32,1.7,,,,,
23july.bag,2026-07-23T21:03:25.148+05:30,17.509,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,3.74,10.93,rejected,"Rejected frontier (3.74, 10.93): endpoint clearance 0.22 m is below required 1.70 m.",0.22,1.7,,,,,
23july.bag,2026-07-23T21:03:25.149+05:30,17.51,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,3.89,11.08,rejected,"Rejected frontier (3.89, 11.08): endpoint clearance 0.33 m is below required 1.70 m.",0.33,1.7,,,,,
23july.bag,2026-07-23T21:03:25.151+05:30,17.512,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,3.94,11.18,rejected,"Rejected frontier (3.94, 11.18): endpoint clearance 0.38 m is below required 1.70 m.",0.38,1.7,,,,,
23july.bag,2026-07-23T21:03:25.151+05:30,17.512,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,3.89,11.28,rejected,"Rejected frontier (3.89, 11.28): endpoint clearance 0.30 m is below required 1.70 m.",0.3,1.7,,,,,
23july.bag,2026-07-23T21:03:25.153+05:30,17.514,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,3.99,11.33,rejected,"Rejected frontier (3.99, 11.33): endpoint clearance 0.23 m is below required 1.70 m.",0.23,1.7,,,,,
23july.bag,2026-07-23T21:03:25.153+05:30,17.514,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,3.34,10.53,rejected,"Rejected frontier (3.34, 10.53): endpoint clearance 0.04 m is below required 1.70 m.",0.04,1.7,,,,,
23july.bag,2026-07-23T21:03:25.153+05:30,17.514,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,3.39,10.58,rejected,"Rejected frontier (3.39, 10.58): endpoint clearance 0.08 m is below required 1.70 m.",0.08,1.7,,,,,
23july.bag,2026-07-23T21:03:25.154+05:30,17.515,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,3.39,10.68,rejected,"Rejected frontier (3.39, 10.68): endpoint clearance 0.11 m is below required 1.70 m.",0.11,1.7,,,,,
23july.bag,2026-07-23T21:03:25.155+05:30,17.515,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,3.44,10.78,rejected,"Rejected frontier (3.44, 10.78): endpoint clearance 0.13 m is below required 1.70 m.",0.13,1.7,,,,,
23july.bag,2026-07-23T21:03:25.155+05:30,17.516,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,3.44,10.88,rejected,"Rejected frontier (3.44, 10.88): endpoint clearance 0.04 m is below required 1.70 m.",0.04,1.7,,,,,
23july.bag,2026-07-23T21:03:25.156+05:30,17.516,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,3.49,10.93,rejected,"Rejected frontier (3.49, 10.93): endpoint clearance 0.04 m is below required 1.70 m.",0.04,1.7,,,,,
23july.bag,2026-07-23T21:03:25.156+05:30,17.517,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,3.49,10.98,rejected,"Rejected frontier (3.49, 10.98): endpoint clearance 0.03 m is below required 1.70 m.",0.03,1.7,,,,,
23july.bag,2026-07-23T21:03:25.157+05:30,17.518,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,7.94,10.88,rejected,"Rejected frontier (7.94, 10.88): endpoint clearance 0.23 m is below required 1.70 m.",0.23,1.7,,,,,
23july.bag,2026-07-23T21:03:25.158+05:30,17.518,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.99,12.78,rejected,"Rejected frontier (8.99, 12.78): endpoint clearance 0.70 m is below required 1.70 m.",0.7,1.7,,,,,
23july.bag,2026-07-23T21:03:25.158+05:30,17.519,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,7.99,10.83,rejected,"Rejected frontier (7.99, 10.83): endpoint clearance 0.18 m is below required 1.70 m.",0.18,1.7,,,,,
23july.bag,2026-07-23T21:03:25.158+05:30,17.519,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.29,11.23,rejected,"Rejected frontier (8.29, 11.23): endpoint clearance 0.28 m is below required 1.70 m.",0.28,1.7,,,,,
23july.bag,2026-07-23T21:03:25.159+05:30,17.52,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.44,11.58,rejected,"Rejected frontier (8.44, 11.58): endpoint clearance 0.65 m is below required 1.70 m.",0.65,1.7,,,,,
23july.bag,2026-07-23T21:03:25.159+05:30,17.52,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,8.49,12.28,rejected,"Rejected frontier (8.49, 12.28): endpoint clearance 0.66 m is below required 1.70 m.",0.66,1.7,,,,,
23july.bag,2026-07-23T21:03:25.160+05:30,17.521,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,9.24,12.58,rejected,"Rejected frontier (9.24, 12.58): endpoint clearance 0.48 m is below required 1.70 m.",0.48,1.7,,,,,
23july.bag,2026-07-23T21:03:25.160+05:30,17.521,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,9.24,12.78,rejected,"Rejected frontier (9.24, 12.78): endpoint clearance 0.68 m is below required 1.70 m.",0.68,1.7,,,,,
23july.bag,2026-07-23T21:03:25.161+05:30,17.521,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,9.44,12.93,rejected,"Rejected frontier (9.44, 12.93): endpoint clearance 0.48 m is below required 1.70 m.",0.48,1.7,,,,,
23july.bag,2026-07-23T21:03:25.161+05:30,17.522,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,9.14,13.23,rejected,"Rejected frontier (9.14, 13.23): endpoint clearance 0.68 m is below required 1.70 m.",0.68,1.7,,,,,
23july.bag,2026-07-23T21:03:25.162+05:30,17.523,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,9.14,13.78,rejected,"Rejected frontier (9.14, 13.78): endpoint clearance 0.80 m is below required 1.70 m.",0.8,1.7,,,,,
23july.bag,2026-07-23T21:03:25.162+05:30,17.523,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,9.39,13.98,rejected,"Rejected frontier (9.39, 13.98): endpoint clearance 0.62 m is below required 1.70 m.",0.62,1.7,,,,,
23july.bag,2026-07-23T21:03:25.163+05:30,17.524,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,7.54,11.13,rejected,"Rejected frontier (7.54, 11.13): endpoint clearance 0.66 m is below required 1.70 m.",0.66,1.7,,,,,
23july.bag,2026-07-23T21:03:25.164+05:30,17.524,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,7.89,11.38,rejected,"Rejected frontier (7.89, 11.38): endpoint clearance 0.54 m is below required 1.70 m.",0.54,1.7,,,,,
23july.bag,2026-07-23T21:03:25.164+05:30,17.525,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,7.59,11.08,rejected,"Rejected frontier (7.59, 11.08): endpoint clearance 0.60 m is below required 1.70 m.",0.6,1.7,,,,,
23july.bag,2026-07-23T21:03:25.165+05:30,17.525,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,7.59,11.18,rejected,"Rejected frontier (7.59, 11.18): endpoint clearance 0.64 m is below required 1.70 m.",0.64,1.7,,,,,
23july.bag,2026-07-23T21:03:25.165+05:30,17.526,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,7.74,11.23,rejected,"Rejected frontier (7.74, 11.23): endpoint clearance 0.54 m is below required 1.70 m.",0.54,1.7,,,,,
23july.bag,2026-07-23T21:03:25.166+05:30,17.527,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,7.74,11.33,rejected,"Rejected frontier (7.74, 11.33): endpoint clearance 0.60 m is below required 1.70 m.",0.6,1.7,,,,,
23july.bag,2026-07-23T21:03:25.166+05:30,17.527,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,7.79,11.38,rejected,"Rejected frontier (7.79, 11.38): endpoint clearance 0.60 m is below required 1.70 m.",0.6,1.7,,,,,
23july.bag,2026-07-23T21:03:25.167+05:30,17.527,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,7.89,11.48,rejected,"Rejected frontier (7.89, 11.48): endpoint clearance 0.62 m is below required 1.70 m.",0.62,1.7,,,,,
23july.bag,2026-07-23T21:03:25.167+05:30,17.528,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,7.89,11.58,rejected,"Rejected frontier (7.89, 11.58): endpoint clearance 0.70 m is below required 1.70 m.",0.7,1.7,,,,,
23july.bag,2026-07-23T21:03:25.168+05:30,17.529,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,4.24,11.48,rejected,"Rejected frontier (4.24, 11.48): endpoint clearance 0.19 m is below required 1.70 m.",0.19,1.7,,,,,
23july.bag,2026-07-23T21:03:25.169+05:30,17.529,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,4.44,11.88,rejected,"Rejected frontier (4.44, 11.88): endpoint clearance 0.43 m is below required 1.70 m.",0.43,1.7,,,,,
23july.bag,2026-07-23T21:03:25.169+05:30,17.53,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,4.24,11.58,rejected,"Rejected frontier (4.24, 11.58): endpoint clearance 0.18 m is below required 1.70 m.",0.18,1.7,,,,,
23july.bag,2026-07-23T21:03:25.170+05:30,17.53,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,4.39,11.63,rejected,"Rejected frontier (4.39, 11.63): endpoint clearance 0.33 m is below required 1.70 m.",0.33,1.7,,,,,
23july.bag,2026-07-23T21:03:25.170+05:30,17.531,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,4.39,11.68,rejected,"Rejected frontier (4.39, 11.68): endpoint clearance 0.33 m is below required 1.70 m.",0.33,1.7,,,,,
23july.bag,2026-07-23T21:03:25.171+05:30,17.531,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,4.29,11.78,rejected,"Rejected frontier (4.29, 11.78): endpoint clearance 0.29 m is below required 1.70 m.",0.29,1.7,,,,,
23july.bag,2026-07-23T21:03:25.172+05:30,17.532,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,4.54,11.93,rejected,"Rejected frontier (4.54, 11.93): endpoint clearance 0.38 m is below required 1.70 m.",0.38,1.7,,,,,
23july.bag,2026-07-23T21:03:25.172+05:30,17.533,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,4.54,11.98,rejected,"Rejected frontier (4.54, 11.98): endpoint clearance 0.33 m is below required 1.70 m.",0.33,1.7,,,,,
23july.bag,2026-07-23T21:03:25.173+05:30,17.534,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,4.44,12.08,rejected,"Rejected frontier (4.44, 12.08): endpoint clearance 0.24 m is below required 1.70 m.",0.24,1.7,,,,,
23july.bag,2026-07-23T21:03:25.174+05:30,17.534,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,4.59,12.18,rejected,"Rejected frontier (4.59, 12.18): endpoint clearance 0.13 m is below required 1.70 m.",0.13,1.7,,,,,
23july.bag,2026-07-23T21:03:25.174+05:30,17.535,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,4.09,11.58,rejected,"Rejected frontier (4.09, 11.58): endpoint clearance 0.03 m is below required 1.70 m.",0.03,1.7,,,,,
23july.bag,2026-07-23T21:03:25.175+05:30,17.535,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,4.29,11.98,rejected,"Rejected frontier (4.29, 11.98): endpoint clearance 0.40 m is below required 1.70 m.",0.4,1.7,,,,,
23july.bag,2026-07-23T21:03:25.175+05:30,17.536,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,4.14,11.68,rejected,"Rejected frontier (4.14, 11.68): endpoint clearance 0.11 m is below required 1.70 m.",0.11,1.7,,,,,
23july.bag,2026-07-23T21:03:25.176+05:30,17.536,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,4.19,11.73,rejected,"Rejected frontier (4.19, 11.73): endpoint clearance 0.18 m is below required 1.70 m.",0.18,1.7,,,,,
23july.bag,2026-07-23T21:03:25.176+05:30,17.537,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,4.19,11.78,rejected,"Rejected frontier (4.19, 11.78): endpoint clearance 0.22 m is below required 1.70 m.",0.22,1.7,,,,,
23july.bag,2026-07-23T21:03:25.177+05:30,17.537,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,4.24,11.88,rejected,"Rejected frontier (4.24, 11.88): endpoint clearance 0.33 m is below required 1.70 m.",0.33,1.7,,,,,
23july.bag,2026-07-23T21:03:25.177+05:30,17.538,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,4.29,11.93,rejected,"Rejected frontier (4.29, 11.93): endpoint clearance 0.40 m is below required 1.70 m.",0.4,1.7,,,,,
23july.bag,2026-07-23T21:03:25.178+05:30,17.539,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,4.34,12.08,rejected,"Rejected frontier (4.34, 12.08): endpoint clearance 0.29 m is below required 1.70 m.",0.29,1.7,,,,,
