bag,relative_sec,level,message
25july.bag,25.077718279,30,"Rejected frontier (4.84, 18.26): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,25.078920316,30,"Rejected frontier (3.99, 18.31): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,25.079536874,30,"Rejected frontier (3.94, 18.36): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,25.083142484,30,"Rejected frontier (2.99, 19.51): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,25.083994126,30,"Rejected frontier (2.99, 19.56): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,25.084749602,30,"Rejected frontier (2.99, 19.66): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,25.085501391,30,"Rejected frontier (3.04, 19.81): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,25.086109142,30,"Rejected frontier (3.04, 19.86): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,25.086732394,30,"Rejected frontier (3.04, 19.96): endpoint clearance 0.04 m is below required 0.10 m."
25july.bag,25.087178093,30,"Rejected frontier (2.94, 19.56): endpoint clearance 0.04 m is below required 0.10 m."
25july.bag,25.087723254,30,"Rejected frontier (2.89, 19.66): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,25.088976419,30,"Rejected frontier (-1.11, 20.31): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,25.089476603,30,"Rejected frontier (2.69, 19.86): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,25.090184578,30,"Rejected frontier (2.59, 20.01): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,25.090740109,30,"Rejected frontier (2.49, 20.06): endpoint clearance 0.03 m is below required 0.10 m."
25july.bag,25.091508139,30,"Rejected frontier (2.44, 20.16): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,25.195706069,30,"Rejected frontier (1.64, 23.76): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,25.258364623,30,"Rejected frontier (1.69, 22.31): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,25.307213839,30,"Rejected frontier (1.84, 22.01): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,25.386143215,30,"Rejected frontier (1.54, 20.21): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=9, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=292)."
25july.bag,26.110270048,30,"Rejected frontier (-0.31, 19.71): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
