bag,relative_sec,level,node,message
25july.bag,52.645957462,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,52.645989784,30,planner_server,"Planning algorithm  failed to generate a valid path to (9.64, 11.79)"
25july.bag,52.646012418,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,52.779266874,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,52.779531233,30,planner_server,"Planning algorithm  failed to generate a valid path to (-4.56, 21.99)"
25july.bag,52.779573114,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,55.887129119,20,controller_server,"Received a goal, begin computing control effort."
25july.bag,61.438208854,20,controller_server,Reached the goal!
25july.bag,61.477003844,20,bt_navigator,Goal succeeded
25july.bag,61.63956743,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,61.639614992,30,planner_server,"Planning algorithm  failed to generate a valid path to (-6.19, 38.89)"
25july.bag,61.639649308,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,61.64825572,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,61.64831299,30,planner_server,"Planning algorithm  failed to generate a valid path to (-8.69, 40.44)"
25july.bag,61.648528715,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,61.66761679,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,61.667687386,30,planner_server,"Planning algorithm  failed to generate a valid path to (-8.44, 39.99)"
25july.bag,61.667725439,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,61.680261217,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,61.680293298,30,planner_server,"Planning algorithm  failed to generate a valid path to (-8.34, 39.74)"
25july.bag,61.680331312,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,61.696417586,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,61.696459887,30,planner_server,"Planning algorithm  failed to generate a valid path to (12.36, 19.19)"
25july.bag,61.696508461,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,61.703352178,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,61.703386655,30,planner_server,"Planning algorithm  failed to generate a valid path to (-8.84, 40.09)"
25july.bag,61.703416101,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,61.721707241,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,61.721783247,30,planner_server,"Planning algorithm  failed to generate a valid path to (-7.99, 39.04)"
25july.bag,61.721819076,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,61.733368475,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,61.733422419,30,planner_server,"Planning algorithm  failed to generate a valid path to (12.46, 18.79)"
25july.bag,61.73344411,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,61.797920811,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,61.797967,30,planner_server,"Planning algorithm  failed to generate a valid path to (12.26, 18.14)"
25july.bag,61.798004432,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,61.807893924,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,61.807956003,30,planner_server,"Planning algorithm  failed to generate a valid path to (11.11, 18.09)"
25july.bag,61.807992424,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,61.825505615,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,61.825539881,30,planner_server,"Planning algorithm  failed to generate a valid path to (12.06, 17.04)"
25july.bag,61.825563537,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,61.832341027,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,61.832403407,30,planner_server,"Planning algorithm  failed to generate a valid path to (10.61, 18.14)"
25july.bag,61.832452702,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,62.277290447,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,62.277333229,30,planner_server,"Planning algorithm  failed to generate a valid path to (11.71, 15.94)"
25july.bag,62.277353027,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,62.291235257,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,62.291295022,30,planner_server,"Planning algorithm  failed to generate a valid path to (-7.74, 34.44)"
25july.bag,62.29133045,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,62.515278652,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,62.51532451,30,planner_server,"Planning algorithm  failed to generate a valid path to (9.56, 17.24)"
25july.bag,62.515365298,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,62.772040274,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,62.772124636,30,planner_server,"Planning algorithm  failed to generate a valid path to (10.96, 15.29)"
25july.bag,62.772175133,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,63.091114273,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,63.091145473,30,planner_server,"Planning algorithm  failed to generate a valid path to (2.51, 21.24)"
25july.bag,63.091167616,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,63.11476983,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,63.114817612,30,planner_server,"Planning algorithm  failed to generate a valid path to (11.06, 14.39)"
25july.bag,63.114854873,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,63.134435774,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,63.134501481,30,planner_server,"Planning algorithm  failed to generate a valid path to (5.16, 19.14)"
25july.bag,63.13455802,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,63.154693228,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,63.15471528,30,planner_server,"Planning algorithm  failed to generate a valid path to (5.26, 18.94)"
25july.bag,63.154736151,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,63.179433813,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,63.179680028,30,planner_server,"Planning algorithm  failed to generate a valid path to (-14.94, 39.59)"
25july.bag,63.17988925,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,63.572522406,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,63.572564888,30,planner_server,"Planning algorithm  failed to generate a valid path to (2.91, 20.14)"
25july.bag,63.572607179,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,63.869769795,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,63.869818198,30,planner_server,"Planning algorithm  failed to generate a valid path to (4.16, 19.24)"
25july.bag,63.869860089,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,63.886869688,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,63.886932589,30,planner_server,"Planning algorithm  failed to generate a valid path to (-12.24, 36.14)"
25july.bag,63.886966605,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,63.89584558,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,63.895917047,30,planner_server,"Planning algorithm  failed to generate a valid path to (-11.39, 35.04)"
25july.bag,63.89607919,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,63.914184368,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,63.914223103,30,planner_server,"Planning algorithm  failed to generate a valid path to (-12.69, 36.39)"
25july.bag,63.914265414,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,63.923494614,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,63.923543047,30,planner_server,"Planning algorithm  failed to generate a valid path to (10.76, 12.39)"
25july.bag,63.923589807,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,63.937982508,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,63.938023076,30,planner_server,"Planning algorithm  failed to generate a valid path to (5.66, 16.19)"
25july.bag,63.938043666,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,63.953134651,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,63.953163266,30,planner_server,"Planning algorithm  failed to generate a valid path to (-13.99, 35.54)"
25july.bag,63.953184968,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,64.131368573,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,64.131415093,30,planner_server,"Planning algorithm  failed to generate a valid path to (-13.79, 34.99)"
25july.bag,64.131459217,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,65.736602737,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,65.736700956,30,planner_server,"Planning algorithm  failed to generate a valid path to (-7.74, 18.99)"
25july.bag,65.736751744,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,65.849903585,30,planner_server,GridBased: failed to create plan with tolerance 0.50.
25july.bag,65.849941568,30,planner_server,"Planning algorithm  failed to generate a valid path to (-8.19, 18.89)"
25july.bag,65.849962278,30,planner_server,[compute_path_to_pose] [ActionServer] Aborting handle.
25july.bag,67.261529973,20,controller_server,"Received a goal, begin computing control effort."
25july.bag,80.512356157,40,controller_server,Failed to make progress
