stamp_s,elapsed_s,global_x_m,global_y_m,interpolated_direct_utm_x_m,interpolated_direct_utm_y_m,global_to_direct_utm_m,global_to_centreline_m
1787657850.293032,1.467038869857788,15.32455837989418,12.553421929348803,446.7444836826913,379.2440416561659,566.2024042194702,419.46739799608247
1787657850.320034,1.4940409660339355,15.323946205986362,12.55238908776939,446.7439668715679,379.24343377678116,566.2027521005259,419.46833126330614
1787657850.3590338,1.5330407619476318,15.326133763927878,12.557065174493838,446.7432204284694,379.24255580153834,566.1969195452382,419.4646535160665
1787657850.391034,1.5650408267974854,15.326330927021145,12.557696679711325,446.742607957891,379.24183540636585,566.195427110538,419.46424896674444
1787657850.4230354,1.5970423221588135,15.32653025183066,12.55833560794699,446.7419954599331,379.2411149789892,566.1939281800855,419.463839808918
1787657850.4630353,1.6370422840118408,15.326782274869613,12.559144712076,446.74122987399176,379.2402144877072,566.1920456250309,419.4633220412335
1787657850.4900355,1.6640424728393555,15.328561491455774,12.55542383045682,446.74071309937443,379.2396066512612,566.1923122808494,419.4629484857116
1787657850.5230384,1.6970453262329102,15.329390394352508,12.554467492287952,446.7400814357575,379.23886368100864,566.1913375821898,419.4625040867749
1787657850.5580382,1.7320451736450195,15.33028253930402,12.553432683915547,446.73941155034044,379.23807575382057,566.1903072795973,419.4620277010637
1787657850.5930383,1.767045259475708,15.33118823154985,12.552376733906916,446.7387416603601,379.23728782126517,566.1892803423389,419.4615459738889
1787657850.6170382,1.7910451889038086,15.331817074597666,12.551640415180229,446.738282309708,379.23674752756943,566.1885781474904,419.46121259730864
1787657850.6600382,1.834045171737671,15.330993759197773,12.554889695245471,446.7374593043647,379.2357794989046,566.1858471044436,419.46085399921583
1787657850.6910384,1.8650453090667725,15.331246124752054,12.555264744313291,446.73686597206586,379.2350816144039,566.1845078556355,419.46048691550675
1787657850.7210402,1.8950471878051758,15.33149183675915,12.555632274223619,446.73629174610386,379.23440620300363,566.1832076587358,419.4601286858469
1787657850.7630403,1.9370472431182861,15.331838259694818,12.556154339434277,446.73548787904014,379.2334606850106,566.1813807374264,419.4596222725838
1787657850.7870402,1.9610471725463867,15.331027812820194,12.55650515661547,446.735028528388,379.23292039131485,566.1810711448832,419.4602600364558
1787657850.821044,1.9950509071350098,15.330898955692808,12.556958266357352,446.73437770823847,379.232154888921,566.1798842223149,419.4602232028774
1787657850.861044,2.035050868988037,15.330740337193115,12.557499149004698,446.73327034494986,379.23124832046136,566.17822390882,419.4601837351703
1787657850.893044,2.0670509338378906,15.330607960207235,12.557937975966901,446.73234533274604,379.2305223679545,566.176865610689,419.46015517178074
1787657850.917044,2.091050863265991,15.330505478274937,12.558270665457698,446.7316515770391,379.22997790627875,566.1758470177137,419.46013550713775
1787657850.9630482,2.1370551586151123,15.330787868144297,12.557360088312373,446.73032175052697,379.2289342542208,566.174532397248,419.4601875537165
1787657850.9910483,2.165055274963379,15.330784389174656,12.557357106859328,446.72951236312565,379.2282990444251,566.1735088812658,419.46019185262037
1787657851.0200505,2.1940574645996094,15.330778802365174,12.557352131436016,446.7286740092199,379.227641101625,566.1724514689728,419.4601988214018
1787657851.0630505,2.2370574474334717,15.330766806906045,12.557341219133528,446.7274310270862,379.22666560531025,566.1708888190157,419.4602138639609
1787657851.0910506,2.2650575637817383,15.331306290112368,12.556495551015598,446.7266216396849,379.22603039551456,566.1699973405854,419.46000229801933
1787657851.1210532,2.295060157775879,15.331484481486763,12.556192975750593,446.7257543675177,379.22534975757134,566.1689559006155,419.45994050751443
1787657851.1610532,2.3350601196289062,15.331723552255083,12.555778992880287,446.7245981057088,379.2244423196421,566.1675731453772,419.4598604011291
1787657851.1910532,2.3650600910186768,32.11396521262759,26.29726040702218,446.7237309093522,379.22376174119523,544.4799106992589,398.9909560621936
1787657851.223053,2.397059917449951,32.11453067965,26.297219750930708,446.72280590404023,379.22303579409714,544.4783315378847,398.9904380720036
1787657851.263053,2.4370598793029785,32.11330427034447,26.297308501574186,446.7216496422314,379.2221283561679,544.47773923404,398.99156131643804
1787657851.2910528,2.465059757232666,32.113300742423256,26.29730617221865,446.72084026172195,379.221493151781,544.4767153712195,398.9915654260208
1787657851.3230557,2.4970626831054688,32.1132943242359,26.29730205314927,446.7199151668157,379.22076713436905,544.4755478912141,398.99157286208373
1787657851.3630557,2.537062644958496,32.11328272685251,26.297294739319998,446.71875890500684,379.21985969643987,544.474092802244,398.99158625483074
1787657851.3930557,2.5670626163482666,32.113305095793976,26.297308622489478,446.7178917086502,379.21917911799295,544.4729652741836,398.9915604990287
1787657851.423056,2.597062826156616,32.11330278456799,26.297307169731692,446.7170245054017,379.2184985341373,544.4718664713889,398.99156316641717
1787657851.4600558,2.6340627670288086,32.11329710817628,26.297303634491122,446.7159549639177,379.21765915459366,544.4705145749223,398.99156970641815
1787657851.487056,2.6610629558563232,32.113290998443844,26.29729985086807,446.71517448099405,379.21704662912356,544.4695303259,398.99157673838124
1787657851.5160558,2.6900627613067627,32.113282585889955,26.297294651135303,446.7143361960069,379.21638874041105,544.4684753293014,398.9915864173732
1787657851.5600555,2.734062433242798,32.11448477618029,26.297294104760418,446.7130643162874,379.2153905651794,544.4659447255817,398.9904559729957
1787657851.5930555,2.7670624256134033,32.11485230007187,26.297287640117986,446.71211039960593,379.21464192834696,544.4644574087963,398.9901125230055
1787657851.618061,2.7920680046081543,32.11513383151519,26.297281738564546,446.71138757401656,379.21407465253543,544.4633287357369,398.9898497554014
1787657851.661061,2.8350679874420166,32.11562409045057,26.297269603071165,446.71014459188285,379.21309915622066,544.4613844700102,398.9893928034647
1787657851.691061,2.865067958831787,32.11348687203711,26.304550541985027,446.7092773955262,379.2124185777738,544.4571910089558,398.98892828601686
1787657851.7190633,2.8930702209472656,32.11301464017865,26.30688335100238,446.70846794609815,379.2117833192993,544.4550103760406,398.98857957399497
1787657851.7610633,2.935070276260376,32.112288684105735,26.31045043553482,446.7072538684421,379.2108305073101,544.4517089797813,398.9880499993055
1787657851.7910633,2.9650702476501465,32.11175713832633,26.31304841833077,446.70638667208544,379.21014992886325,544.4493283059223,398.98766694792374
1787657851.8180685,2.9920754432678223,32.11126938329313,26.315422724185364,446.7056060444326,379.20953728980925,544.4471692336604,398.9873187318421
1787657851.8610685,3.0350754261016846,32.11725811517937,26.30271887353966,446.7050466380888,379.208573936033,544.4497928456822,398.98600404107657
