stamp_s,direct_utm_x_m,direct_utm_y_m,navsat_x_m,navsat_y_m,navsat_to_direct_m,direct_to_centreline_m,navsat_to_centreline_m,gps_variance_x_m2,gps_variance_y_m2
1787657915.8177693,397.6948392740451,384.34704386023805,404.44758997589815,377.234653737396,9.807432655944075,3.063214670334148,5.4725928178782075,11.710084,11.710084
1787657916.8177922,396.4818329978734,383.8820340735838,403.226528820931,376.7912261974998,9.786239220512899,2.4999411109171676,4.182329334612405,11.363641,11.363641
1787657917.817803,395.33148442103993,383.7396412016824,402.07383618468884,376.6692537968047,9.76983548274139,1.760867465951301,3.0324374425454534,10.8241,10.8241
1787657918.816807,394.44673573598266,384.0454212841578,401.1946487252135,376.99067424610257,9.762365772761175,0.9074613006425253,2.290890694626176,10.106041,10.106041
1787657919.8168206,393.5066521879053,384.71606660215184,400.2666049245745,377.67788376659155,9.758738577745445,0.23656535584375732,1.8565358685209652,9.884736,9.884736
1787657920.8168414,392.8329564946471,385.790553512983,399.61206805089023,378.76414777198806,9.76354091142534,1.4639313629995507,1.895081465815809,9.728161000000002,9.728161000000002
1787657921.8168693,392.4323450946249,386.89206611644477,399.2310517578153,379.8725908668712,9.772177089650267,2.5111961477438367,2.1755243565497557,9.653449000000002,9.653449000000002
1787657922.8169003,392.8148722402984,387.90771914599463,399.63152841024566,380.8813012037426,9.789655276795028,2.9298762216901264,3.0587223004078234,9.591409,9.591409
1787657923.8169253,393.32358343550004,388.96995991980657,400.15899537026417,381.93435445427895,9.809311932265077,3.2887361941096596,4.072677779560323,9.535744000000001,9.535744000000001
1787657924.8169477,394.0311811824795,389.8361814492382,400.8818417825969,382.7878926037811,9.829034861419329,3.368415148819134,5.1427213026634835,9.634816,9.634816
1787657925.8169873,394.8332982202992,390.88146388344467,401.70236774836667,383.81878748256713,9.85218321616776,3.502367741895782,5.79067314026517,9.834496000000001,9.834496000000001
1787657926.8170216,395.88215232803486,391.78700911439955,402.76711415778846,384.70559196313843,9.876698247255462,3.645090963606592,5.29562317329456,10.118761000000001,10.118761000000001
1787657927.8170402,397.0359644701239,392.2842258908786,403.9295615821611,385.1822710642591,9.89744631217729,3.728656999148903,5.220263342242872,10.278436,10.278436
1787657928.8170645,398.19253396545537,392.62628331268206,405.09201462799683,385.50376631272957,9.9163038390015,3.678521251156319,5.291759240715255,10.112400000000001,10.112400000000001
1787657929.817088,399.14222228573635,393.06444108625874,406.049323084997,385.9250152395107,9.933752708436094,3.786196573539769,5.029361716084587,9.771875999999999,9.771875999999999
1787657930.817113,400.129009190714,393.6141214547679,407.04570182366297,386.4571113907732,9.953061339849754,3.9874170019280917,4.635753980982919,9.715689,9.715689
1787657931.817137,401.037659456837,394.16241327347234,407.9639315853128,386.9892047359608,9.971367324511187,3.9220920705662903,4.231664272592416,9.878448999999998,9.878448999999998
1787657932.817157,402.09242173773237,394.7354745194316,409.02868960320484,387.54347274266183,9.991831736906171,3.1116930630345205,3.8252591491051815,10.017225,10.017225
1787657933.8171766,402.8653177043889,395.22592226276174,409.8101607139688,388.02013831492513,10.007705367895825,2.5408446487417926,3.4577480581876427,10.3041,10.3041
1787657934.8171906,403.7739677238278,395.7742143110372,410.7283902341733,388.552231894806,10.026017278698067,1.860507142672845,3.0536580848325126,10.504081000000001,10.504081000000001
1787657935.817204,404.78540947893634,396.03608894953504,411.7443165478762,388.7961303847842,10.042080840814348,0.9896418847954986,2.8748604947087517,10.601536,10.601536
1787657936.8172302,405.6102920747362,396.3500796845183,412.57463716354687,389.0954448594712,10.05643221827838,0.31213486196392837,2.474261751122166,10.817521000000001,10.817521000000001
1787657937.8172479,406.5949931417126,396.46735707484186,413.56126298289746,389.19524300377816,10.070380259094692,0.5805766824859283,2.252112540181105,11.009124,11.009124
1787657938.817274,407.7283668706659,396.46532731177285,414.6944225245388,389.173116476275,10.084754347142349,1.6527274346572076,2.1326473099876004,11.202409,11.202409
1787657939.8173,408.89636002806947,396.1645822781138,415.8568992050132,388.8517077686265,10.095902100618716,2.85496407520075,2.306465641517027,11.269449000000002,11.269449000000002
1787657940.817323,410.0241031490732,395.9296399289742,416.98029899725225,388.5968051175587,10.107379831080397,3.9977021190594555,2.419174681075962,11.316495999999999,11.316495999999999
1787657941.8173404,411.2971705046948,395.7637984342873,418.25022547715344,388.4084155536257,10.121592304136833,4.035539976234022,2.4476040516584816,11.068928999999999,11.068928999999999
1787657942.8173637,412.4288532161154,395.30719990935177,419.3736338133458,387.9318217183463,10.13045808460934,3.6707350813993758,2.5412386286241277,10.936249,10.936249
1787657943.8173907,413.34743328613695,394.7470371183008,420.2821366023272,387.3554586558603,10.135360982717637,3.2295908817050374,2.776355156675423,11.029041000000001,11.029041000000001
1787657944.8174167,414.209380788845,394.0750046474859,421.13203204527963,386.66824771650136,10.138202436966012,2.670383846854184,3.1356092483071554,11.229201,11.229201
1787657945.8174312,415.8896773351589,392.98515037773177,422.7927390120458,385.5487696323544,10.146527440712102,1.7987518910604108,3.6274178827432837,11.262735999999999,11.262735999999999
1787657946.8174508,417.47891890001483,392.07105911755934,424.3655219594948,384.60664151702076,10.15592594567669,1.0901451078655884,3.8913227005638333,11.363641,11.363641
1787657947.8174717,419.1767803989351,391.0923806820065,426.0457624975825,383.5980103239417,10.166046534193036,0.36647245837031195,4.158131769035138,11.566800999999998,11.566800999999998
1787657948.8174977,420.7230965894414,389.84493724722415,427.56971578940284,382.3233436034061,10.171065107057593,0.2844497673410909,4.730998311257571,11.847364,11.847364
1787657949.817508,422.3291153720347,389.0863532847725,429.1620307851117,381.5364008410834,10.18285396852141,0.45513045014778225,4.828539768297422,12.027023999999999,12.027023999999999
1787657950.81753,424.1627318696119,388.16551999840885,430.97903069399763,380.583198483102,10.195760355402989,0.6987642985634676,4.99061570173876,12.033961,12.033961
1787657951.817551,426.0422292542644,387.4117972981185,432.8448674940737,379.7962668724358,10.21137555308854,0.6528530816968448,4.980609881132544,11.957764000000001,11.957764000000001
1787657952.8175728,427.7859727717005,386.6002303562127,434.5739460726036,378.9539073142223,10.224619190769243,0.7135005761037752,5.075335927642556,11.943935999999999,11.943935999999999
1787657953.8175862,429.78464550559875,385.73776324884966,436.55701122048777,378.0561351669021,10.240720060892675,0.7207220965588642,5.121155652755503,11.737476000000001,11.737476000000001
1787657954.817629,431.7465316274902,385.29592284420505,438.51075412880164,377.5795758902095,10.261418827905045,0.3556523360633695,4.791210461726004,11.854249000000001,11.854249000000001
1787657955.817675,433.65099741425365,384.786544195842,440.405888137524,377.03650717204437,10.28064310019359,0.07525726400698067,4.545461297450312,11.964681,11.964681
1787657956.8177035,435.48729083593935,384.26486776862293,442.2326424331404,376.48235144792125,10.298899380606226,0.16702790736457185,4.336790283222243,11.840480999999999,11.840480999999999
1787657957.81672,437.21358560491353,383.8853585878387,443.9519362935098,376.0722911232151,10.317431521908226,0.49678504172197024,4.037876506533756,11.730624999999998,11.730624999999998
1787657958.8157516,438.7109037077753,383.74567866465077,445.44654216221534,375.9060825831257,10.335767611086998,0.9570345149825945,3.603085670077907,11.923208999999998,11.923208999999998
1787657959.8157687,438.7992014202755,383.7250755224377,445.5344606550643,375.883916977793,10.33670567840949,0.9728053838929537,3.5889005340976112,12.152196000000002,12.152196000000002
